transfer_policy,return_preset,tax_scenario,wealth_gini_difference_relative_to_flat,disposable_income_gini_difference_relative_to_flat,top_10_difference_relative_to_flat,top_1_difference_relative_to_flat,shorrocks_difference_relative_to_flat,top_20_persistence_difference_relative_to_flat,seed
no_transfers,high_return_heterogeneity,swedish_low_progressivity,-0.0020275193032117667,-0.015096716595375703,-0.00021567838064956435,0.0005566094691469847,-0.0008749999999999591,0.0050000000000000044,2
no_transfers,high_return_heterogeneity,swedish_baseline_progressivity,-0.005428823083131862,-0.04612040742818646,0.0003024029196644351,0.001664447001071906,-0.005499999999999949,0.015000000000000013,2
no_transfers,high_return_heterogeneity,swedish_high_progressivity,-0.008685982832089545,-0.08200982352276309,0.0012446094438115507,0.002787254356424046,-0.012249999999999872,0.02400000000000002,2
universal_plus_safety_floor,high_return_heterogeneity,flat,0.0,0.0,0.0,0.0,0.0,0.0,2
universal_plus_safety_floor,high_return_heterogeneity,swedish_low_progressivity,-0.00351124902172284,-0.013418208020773648,-0.0018880631137294657,-0.00017760479826919862,-0.001000000000000112,0.0035000000000000586,2
universal_plus_safety_floor,high_return_heterogeneity,swedish_baseline_progressivity,-0.008851440784639397,-0.037417047234970635,-0.004270622510984812,-0.00031320765542282303,0.0003749999999999032,0.007000000000000006,2
universal_plus_safety_floor,high_return_heterogeneity,swedish_high_progressivity,-0.013459422096189444,-0.06236936781779234,-0.006024874984161044,-0.0003357178372198899,0.00024999999999997247,0.013000000000000012,2
lump_sum_only,low_return_heterogeneity,flat,0.0,0.0,0.0,0.0,0.0,0.0,2
lump_sum_only,low_return_heterogeneity,swedish_low_progressivity,-0.0045785932308277655,-0.013835985505613158,-0.0017467752045725593,-6.56881759554806e-05,0.00012500000000004174,0.007499999999999951,2
lump_sum_only,low_return_heterogeneity,swedish_baseline_progressivity,-0.012106212198779387,-0.03938315612144039,-0.0034299812262408302,-8.689342125080268e-05,-0.007000000000000006,0.02399999999999991,2
lump_sum_only,low_return_heterogeneity,swedish_high_progressivity,-0.019110860658898776,-0.0666091635067303,-0.004523685508927788,-7.756705924984175e-05,-0.01749999999999996,0.040999999999999925,2
no_transfers,low_return_heterogeneity,flat,0.0,0.0,0.0,0.0,0.0,0.0,2
no_transfers,low_return_heterogeneity,swedish_low_progressivity,-0.0029056390017594413,-0.015096716595375703,0.0002789516673553649,0.0006729937841345457,-0.009750000000000036,0.014500000000000068,2
no_transfers,low_return_heterogeneity,swedish_baseline_progressivity,-0.007945636346356366,-0.04612040742818646,0.0017314655316841288,0.0018205540086899535,-0.026374999999999926,0.03500000000000003,2
no_transfers,low_return_heterogeneity,swedish_high_progressivity,-0.012936099959111491,-0.08200982352276309,0.00350837478800059,0.0028759694788630663,-0.049875,0.06000000000000005,2
universal_plus_safety_floor,low_return_heterogeneity,flat,0.0,0.0,0.0,0.0,0.0,0.0,2
universal_plus_safety_floor,low_return_heterogeneity,swedish_low_progressivity,-0.004452900995706388,-0.013418208020773648,-0.0016714537090088966,-6.885113395434239e-05,-0.0017500000000000293,0.00649999999999995,2
universal_plus_safety_floor,low_return_heterogeneity,swedish_baseline_progressivity,-0.01143834515385378,-0.037417047234970635,-0.0032887616532926156,-9.635459433503246e-05,-0.010375000000000023,0.025499999999999967,2
universal_plus_safety_floor,low_return_heterogeneity,swedish_high_progressivity,-0.017653696685342446,-0.06236936781779234,-0.004324719225889173,-9.742630546898112e-05,-0.021500000000000075,0.04149999999999998,2
